SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM210,NC(=O)[C@@H]1CCC(=O)N1,102.63025,-163.0480801,13.28560595,0.315176065
SAM211,NC(=O)[C@@H]1COCCN1,75.88825,-116.4158414,13.43288494,0.309208335
SAM212,NC(=O)[C@H](O)[C@@H]1CCOC1,78.5635,-112.5714389,14.60197421,0.293496486
SAM213,NC(=O)[C@H](O)[C@H]1CCOC1,72.845,-109.6279096,14.76254162,0.295442813
SAM214,NC(=O)[C@H]1CCC(=O)N1,101.55875,-162.1802102,13.32949076,0.317947323
SAM215,NC(=O)[C@H]1COCCN1,81.5965,-119.3302936,13.43102808,0.305089232
SAM216,NC(=O)[C@H]1CO1,97.13125,-91.50227933,11.69624037,0.284976682
SAM217,NN1CC(=O)NC1=O,105.77125,-131.6473834,13.37162346,0.334157691
SAM218,C1CNn2nnnc2N1,122.14575,-169.3495583,14.41034834,0.335276614
SAM219,C=CC(=O)NC(CO)(CO)CO,97.64725,-198.0078933,20.35045508,0.306238986
SAM220,CC(=O)Cn1nnnc1N,119.04525,-111.7368293,14.81359298,0.356022219
SAM221,CC(=O)NC(NC(C)=O)NC(C)=O,107.88575,-142.1649946,16.5137143,0.354617695
SAM222,CC(=O)NC(CO)CO,106.164,-129.1384804,13.83436227,0.294624055
SAM223,CC(=O)NCC(=O)CNC(C)=O,88.64575,-82.77985997,16.47274979,0.31350229
SAM224,NC(=O)C1(O)CNC1,102.61925,-107.8176805,12.87279369,0.289914836
SAM225,C[N@H+]1CCNC(=O)[C@@H]1CC(=O)[O-],150.1165,-432.0703196,22.85682461,0.300095054
SAM226,CN1C[C@H](O)[C@H](O)[C@H](O)[C@@H]1CO,152.624,-165.6332231,19.79399844,0.295376117
SAM227,CC(C)NC(=O)C(=O)N1CCNCC1,93.56175,-124.5225207,17.71052454,0.304203128
SAM228,NCC(=O)CN,126.06525,-132.4439217,12.39714574,0.352186519
SAM229,C[C@H](O)[C@@H](N)C(N)=O,194.26725,-195.2867137,13.68583378,0.341571897
SAM230,C[C@H](O)[C@H](N)C(N)=O,195.95725,-177.8863915,13.84069623,0.340590008
SAM231,CN1C[C@H](O)[C@H](O)[C@@H](O)[C@@H]1CO,130.46425,-168.7542441,19.15610524,0.292676375
SAM232,C[N@@H+](CCO)CC(=O)[O-],147.03825,-280.2554835,17.72454534,0.315865046
SAM233,C[NH+](C)C[C@H](N)C(=O)[O-],172.88625,-435.5056535,17.88409118,0.310683532
SAM234,CNC(=O)[C@@H]1CNCCO1,77.21,-93.94774776,15.52317988,0.296532911
SAM235,C[NH+](C)C[C@@H](N)C(=O)[O-],174.8685,-472.79924,20.98715093,0.311504365
SAM236,CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,163.7685,-160.6935321,19.04122112,0.300746228
