,SAMindex,TC_mean,Peak2_frequency,E_pair_var,TotEng_var,c_interface_up_mean,c_interface_dw_mean,SAM_up_length_gm,SAM_dw_length_gm,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
127,SAM128,172.628,37.56056657,36713.03639,160065.5922,-196.2772535,-178.4290372,12.19398724,12.4386925,0.336112829,0.389106637,16.15698348,75.35,-2.1956,26.9919
128,SAM129,80.25675,43.21056705,69444.7299,240161.2848,-77.74479561,-68.36218546,14.57002763,14.92748159,0.42511108,0.391245684,16.15698348,75.35,-1.5595,33.7229
129,SAM130,134.4615,43.05141211,20357.32779,129115.5758,-224.0980718,-211.9575517,14.59663587,15.3447655,0.468755788,0.361392597,16.0344346,100.87,-1.4888,39.6288
130,SAM131,110.3845,37.40141163,62254.32935,284685.422,-139.1806413,-130.5384617,13.97516744,13.96893742,0.481688955,0.377415586,16.20419791,78.34,-1.4105,31.5488
131,SAM132,140.61125,42.97183463,45175.73094,205198.6054,-159.5369155,-140.4636045,13.80394198,14.15087546,0.523364294,0.369337816,5.733667477,84.66,-1.1675,29.2811
132,SAM133,69.41875,42.89225716,72721.28509,293478.2056,-119.1528973,-120.6207465,15.86466114,16.08769314,0.523688256,0.378792717,16.20419791,81.58,-1.8688,44.4288
133,SAM134,71.48275,43.76760935,82267.57757,288476.0378,-119.0978935,-115.2204391,15.91197111,16.07097585,0.523688256,0.378792717,16.20419791,81.58,-1.8688,44.4288
134,SAM135,220.519,43.44929946,53630.35741,110715.1559,-1498.802678,-1017.813477,15.89890842,13.71638963,0.355719098,0.777376961,25.81920644,114.02,-2.9412,25.5558
135,SAM136,117.03475,43.92676429,38794.29605,187222.2913,-332.9924716,-289.4543873,24.21004512,21.67442638,0.322405489,0.548206846,30.74769658,111.05,-5.0669,42.7177
136,SAM137,168.3095,43.68803188,33466.22371,139490.9872,-351.4729906,-336.0647361,12.98214462,13.18217752,0.384463193,0.54385304,20.95152066,82.76,-3.6007,28.1798
137,SAM138,161.19475,43.44929946,38325.18026,165191.5476,-301.1116181,-274.5369612,13.19461244,13.00854069,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
138,SAM139,170.14725,43.36972199,45982.96363,192521.3785,-306.2577811,-292.920714,13.14087598,13.07890912,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
139,SAM140,172.03425,37.56056657,43416.78846,201988.8704,-198.3028611,-177.0934467,14.2721881,14.34349587,0.302325671,0.387901235,25.79011262,95.94,-2.6159,31.9478
140,SAM141,169.8835,37.4809891,32434.51293,157971.5058,-220.0845699,-188.7254737,18.60694703,17.56151355,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
141,SAM142,166.467,37.4809891,32702.76103,146048.1087,-223.7409322,-195.2683647,18.72028954,17.22598545,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
142,SAM143,161.0455,43.60845441,30770.35791,140625.4882,-221.1835447,-189.1606699,19.15116964,19.49986557,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
143,SAM144,165.81175,37.40141163,30536.54706,162595.7728,-218.7508668,-198.0241387,18.165051,19.0117455,0.254395468,0.393567218,30.99736564,128.2,-3.2685,40.658
144,SAM145,179.67075,44.08591924,32128.9927,147872.3634,-344.7111257,-336.3134352,13.15625312,13.07679834,0.384463193,0.54385304,20.95152066,82.76,-3.6007,28.1798
145,SAM146,177.817,44.08591924,41011.4596,184651.615,-350.7569681,-339.7477256,13.14829183,13.07676629,0.384463193,0.54385304,20.95152066,82.76,-3.6007,28.1798
146,SAM147,178.61425,43.76760935,31066.73936,149257.4255,-449.8974508,-395.6597688,13.57071156,13.67353154,0.384463193,0.543895625,20.95152066,82.76,-3.6007,28.1798
147,SAM148,158.3295,43.44929946,37619.96729,155527.1646,-298.9882109,-288.5500715,13.15524811,13.02522289,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
148,SAM149,158.43,43.36972199,44491.65425,189944.3729,-299.5691114,-277.6399284,13.06606727,13.03067266,0.382379401,0.549557548,20.95152066,82.76,-3.7432,28.1318
149,SAM150,168.83025,37.64014404,44409.66133,186046.1737,-199.0081538,-177.5125856,14.42033505,14.45149449,0.302325671,0.387901235,25.79011262,95.94,-2.6159,31.9478
