SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM198,101.528,101.48565,101.53054,91.20624,101.531624,101.49124,101.49332,101.50863,101.560036,101.48014,101.51528
SAM199,108.5405,108.59964,108.52646,108.55414,108.562584,108.60407,108.546326,111.87251,108.546844,108.57436,108.50052
SAM200,100.34075,100.86713,100.52694,101.63911,125.549965,102.80851,100.669395,101.61222,100.600174,100.87763,101.80152
SAM201,77.5845,77.55742,88.39575,77.62583,77.59449,77.51763,77.5569,77.5908,77.56726,77.60359,77.61651
SAM202,115.9935,116.00427,115.97234,120.14302,116.04447,115.93621,116.06099,116.0795,115.97069,116.07035,115.9651
SAM203,123.3615,123.414764,123.655,123.393875,124.42731,123.61458,123.501656,161.06503,123.40645,123.60417,123.53933
SAM204,76.6275,76.6861,76.67474,76.67258,76.60044,76.60732,76.615776,76.63373,95.3205,76.69282,76.64578
SAM205,115.5685,115.57201,115.5515,115.530174,115.56565,115.57366,115.61845,115.6049,123.626366,115.58107,115.54666
SAM206,90.3335,90.42151,104.99659,90.334305,90.32326,90.43109,90.34889,90.290436,90.26411,90.36254,90.41374
SAM207,92.11925,92.421104,92.71798,93.00202,92.419846,91.98054,92.58357,92.50574,92.17858,92.46262,93.001755
SAM208,72.40075,72.36544,72.385574,72.38251,72.39413,72.37176,72.39013,72.39455,72.41257,77.98618,72.40287
SAM209,82.39825,82.28912,82.32207,82.32519,77.08142,82.32876,82.31844,82.3692,82.133415,82.38679,82.12007
SAM210,102.63025,102.70377,102.659996,102.483376,102.717415,102.51821,102.72234,102.71742,102.61954,113.89947,102.648056
SAM211,75.88825,75.9235,75.913704,75.853775,75.84528,75.87685,75.86681,75.87823,75.864494,75.91492,75.88314
SAM212,78.5635,78.67905,78.69771,78.68588,78.590965,83.52898,78.59174,78.62187,78.64886,78.51504,78.68277
SAM213,72.845,72.82085,72.91363,83.799034,72.85462,72.92778,72.89998,72.88369,72.864845,72.89244,72.85138
SAM214,101.55875,101.38851,105.05709,101.67547,101.5517,101.62862,101.53436,101.39783,101.565765,101.67147,101.55711
SAM215,81.5965,77.42772,81.55026,81.56976,81.62859,81.61785,81.62858,81.539154,81.63883,81.58815,81.59024
SAM216,97.13125,96.83978,96.70671,96.12516,96.83418,97.16809,96.87345,96.43007,89.943825,97.13597,96.1154
SAM217,105.77125,125.45616,105.76324,105.73005,105.775314,105.93355,105.77207,105.79863,105.79868,105.67403,105.74994
SAM218,122.14575,122.14604,122.18316,122.15752,122.15076,122.149895,129.24065,122.07281,122.14557,122.153305,122.13323
SAM219,97.64725,97.35525,97.57167,117.91031,97.55566,97.72173,97.54787,97.51827,97.54509,97.46086,97.63637
SAM220,119.04525,119.041245,119.039055,95.936035,119.001076,119.07267,119.077446,119.02532,119.00973,119.00109,119.06125
SAM221,107.88575,107.869446,107.95289,107.8418,107.87592,107.93104,107.136566,107.884254,107.87153,107.893074,107.886116
SAM222,106.164,106.21672,127.38033,106.18252,106.20961,106.097275,106.1318,106.193924,106.18741,106.126396,106.14806
SAM223,88.64575,87.02879,88.70648,88.643326,88.62726,88.636566,88.58805,88.62893,88.665016,88.64271,88.611946
SAM224,102.61925,102.66001,102.699165,102.92885,102.55362,102.70327,102.61539,102.642426,102.6244,102.60904,89.676315
SAM225,150.1165,152.78526,152.99408,153.001,145.37103,152.30792,151.74069,150.66846,151.91881,150.68668,150.1589
SAM226,152.624,151.98433,152.12971,152.06937,152.09602,150.84775,129.9734,152.24329,151.66293,151.39374,151.85294
SAM227,93.56175,93.478874,93.72847,93.589386,93.59496,93.61555,87.1434,93.50755,93.472206,93.5221,93.4491
SAM228,126.06525,126.24151,126.07303,138.63919,126.08643,126.10682,126.21841,126.118645,126.07494,126.23351,125.94921
SAM229,194.26725,194.18408,194.20943,194.19923,194.28409,194.15112,194.20012,188.05147,194.22676,194.18553,194.2501
SAM230,195.95725,195.9416,195.97952,184.71501,195.89487,196.01204,196.01791,195.93176,195.9115,195.88327,195.94974
SAM231,130.46425,130.87337,130.3122,130.7211,130.55415,130.5844,137.73605,131.5382,130.83366,130.56563,130.85634
SAM232,147.03825,147.19739,147.14551,159.59912,146.72383,146.8817,147.05103,146.80476,146.92363,147.02362,147.05316
SAM233,172.88625,175.72084,173.50798,174.19843,174.83716,173.5325,173.74988,174.15947,174.27615,179.38567,173.29655
SAM234,77.21,77.30285,77.35,77.23411,77.24497,77.32024,77.24193,77.262054,77.178764,77.26743,87.91981
SAM235,174.8685,170.06996,170.41275,170.40509,171.39906,171.87082,171.85378,172.54459,170.90004,173.2868,145.87448
SAM236,163.7685,162.99582,163.65773,133.95529,163.95335,163.79001,162.43756,162.79071,163.12912,163.80078,163.93246
SAM237,150.8895,150.97852,150.79002,150.92097,150.93658,150.87425,150.92506,150.87936,150.88046,148.84981,150.90056
